"category_id","name","description","image_url"
"1","Espresso","Strong coffee brewed by forcing hot water under pressure through finely ground coffee beans","/static/images/espresso.jpg"
"2","Cappuccino","Coffee drink with espresso, hot milk, and steamed milk foam","/static/images/cappuccino.jpg"
"3","Latte","Coffee drink made with espresso and steamed milk","/static/images/latte.jpg"
"4","Cold Brew","Coffee brewed with cold water over an extended period","/static/images/cold-brew.jpg"
"5","Specialty","Our signature coffee creations","/static/images/specialty.jpg"
"customer_id","name","email","phone","address","created_at","password","role","updated_at"
"order_id","customer_id","order_date","status","total_amount","shipping_address","payment_method","updated_at"
"item_id","order_id","product_id","quantity","price"
"product_id","name","description","price","category_id","image_url","is_featured","in_stock","created_at"
"1","Classic Espresso","Our signature espresso shot with rich crema","3.50","1","/static/images/classic-espresso.jpg","1","1","2025-05-04 02:22:59"
"2","Double Shot Espresso","Double the intensity for coffee lovers","4.50","1","/static/images/double-espresso.jpg","0","1","2025-05-04 02:22:59"
"3","Vanilla Cappuccino","Classic cappuccino with a hint of vanilla","5.75","2","/static/images/vanilla-cappuccino.jpg","1","1","2025-05-04 02:22:59"
"4","Caramel Cappuccino","Sweet caramel blended with our premium cappuccino","5.95","2","/static/images/caramel-cappuccino.jpg","0","1","2025-05-04 02:22:59"
"5","Classic Latte","Smooth espresso with steamed milk","5.25","3","/static/images/classic-latte.jpg","1","1","2025-05-04 02:22:59"
"6","Hazelnut Latte","Rich hazelnut flavored latte","5.75","3","/static/images/hazelnut-latte.jpg","0","1","2025-05-04 02:22:59"
"7","Overnight Cold Brew","12-hour brewed cold coffee","4.95","4","/static/images/overnight-cold-brew.jpg","1","1","2025-05-04 02:22:59"
"8","Vanilla Cold Brew","Cold brew infused with vanilla","5.25","4","/static/images/vanilla-cold-brew.jpg","0","1","2025-05-04 02:22:59"
"9","AJ's Coffee Buster","Our signature coffee with secret recipe","6.95","5","/static/images/coffee-buster.jpg","1","1","2025-05-04 02:22:59"
"10","Mocha Explosion","Rich chocolate and coffee fusion","6.75","5","/static/images/mocha-explosion.jpg","0","1","2025-05-04 02:22:59"
